genre_id,#tracks,parent,title,top_level,main_category,main_category_id
10,13845,0,Pop,10,Pop / Mainstream / Synth,2
362,1835,10,Synth Pop,10,Pop / Mainstream / Synth,2
167,152,31,Black-Metal,12,Rock / Alternative / Metal / Punk,1
101,196,31,Death-Metal,12,Rock / Alternative / Metal / Punk,1
64,563,25,Electro-Punk,12,Rock / Alternative / Metal / Punk,1
85,3548,12,Garage,12,Rock / Alternative / Metal / Punk,1
314,482,12,Goth,12,Rock / Alternative / Metal / Punk,1
439,314,31,Grindcore,12,Rock / Alternative / Metal / Punk,1
109,1419,25,Hardcore,12,Rock / Alternative / Metal / Punk,1
66,5432,12,Indie-Rock,12,Rock / Alternative / Metal / Punk,1
70,2230,12,Industrial,12,Rock / Alternative / Metal / Punk,1
36,688,12,Krautrock,12,Rock / Alternative / Metal / Punk,1
27,6041,12,Lo-Fi,12,Rock / Alternative / Metal / Punk,1
45,2469,12,Loud-Rock,12,Rock / Alternative / Metal / Punk,1
31,1498,12,Metal,12,Rock / Alternative / Metal / Punk,1
88,517,12,New Wave,12,Rock / Alternative / Metal / Punk,1
71,600,25,No Wave,12,Rock / Alternative / Metal / Punk,1
53,2071,45,Noise-Rock,12,Rock / Alternative / Metal / Punk,1
89,1858,25,Post-Punk,12,Rock / Alternative / Metal / Punk,1
26,1952,12,Post-Rock,12,Rock / Alternative / Metal / Punk,1
111,1003,25,Power-Pop,12,Rock / Alternative / Metal / Punk,1
98,795,12,Progressive,12,Rock / Alternative / Metal / Punk,1
58,2502,12,Psych-Rock,12,Rock / Alternative / Metal / Punk,1
25,9261,12,Punk,12,Rock / Alternative / Metal / Punk,1
12,32923,0,Rock,12,Rock / Alternative / Metal / Punk,1
440,116,12,Rock Opera,12,Rock / Alternative / Metal / Punk,1
359,762,12,Shoegaze,12,Rock / Alternative / Metal / Punk,1
90,251,53,Sludge,12,Rock / Alternative / Metal / Punk,1
113,484,26,Space-Rock,12,Rock / Alternative / Metal / Punk,1
404,265,85,Surf,12,Rock / Alternative / Metal / Punk,1
361,175,109,Thrash,12,Rock / Alternative / Metal / Punk,1
107,7206,1235,Ambient,1235,Spoken / Soundtrack / Misc,10
374,9,20,Banter,20,Spoken / Soundtrack / Misc,10
7,217,20,Comedy,20,Spoken / Soundtrack / Misc,10
538,338,18,Compilation,1235,Spoken / Soundtrack / Misc,10
1235,14938,0,Instrumental,1235,Spoken / Soundtrack / Misc,10
166,122,65,Interview,20,Spoken / Soundtrack / Misc,10
465,18,20,Musical Theater,20,Spoken / Soundtrack / Misc,10
267,360,1235,New Age,1235,Spoken / Soundtrack / Misc,10
188,301,20,Poetry,20,Spoken / Soundtrack / Misc,10
65,518,20,Radio,20,Spoken / Soundtrack / Misc,10
43,210,65,Radio Art,20,Spoken / Soundtrack / Misc,10
428,73,20,Radio Theater,20,Spoken / Soundtrack / Misc,10
18,5913,1235,Soundtrack,1235,Spoken / Soundtrack / Misc,10
20,1876,0,Spoken,20,Spoken / Soundtrack / Misc,10
138,490,20,Spoken Weird,20,Spoken / Soundtrack / Misc,10
378,177,20,Spoken Word,20,Spoken / Soundtrack / Misc,10
189,26,65,Talk Radio,20,Spoken / Soundtrack / Misc,10
92,329,2,African,2,World / Global / Reggae / Latin,8
81,110,92,Afrobeat,2,World / Global / Reggae / Latin,8
172,118,2,Asia-Far East,2,World / Global / Reggae / Latin,8
118,608,2,Balkan,2,World / Global / Reggae / Latin,8
175,0,86,Bollywood,2,World / Global / Reggae / Latin,8
171,234,2,Brazilian,2,World / Global / Reggae / Latin,8
177,72,2,Celtic,2,World / Global / Reggae / Latin,8
502,67,46,Cumbia,2,World / Global / Reggae / Latin,8
130,727,2,Europe,2,World / Global / Reggae / Latin,8
1156,26,130,Fado,2,World / Global / Reggae / Latin,8
232,47,2,Flamenco,2,World / Global / Reggae / Latin,8
77,387,2,French,2,World / Global / Reggae / Latin,8
86,216,2,Indian,2,World / Global / Reggae / Latin,8
2,5271,0,International,2,World / Global / Reggae / Latin,8
741,57,130,Klezmer,2,World / Global / Reggae / Latin,8
504,114,2,Latin,2,World / Global / Reggae / Latin,8
46,573,2,Latin America,2,World / Global / Reggae / Latin,8
102,176,2,Middle East,2,World / Global / Reggae / Latin,8
173,4,86,N. Indian Traditional,2,World / Global / Reggae / Latin,8
214,40,92,North African,2,World / Global / Reggae / Latin,8
176,23,2,Pacific,2,World / Global / Reggae / Latin,8
117,62,2,Polka,2,World / Global / Reggae / Latin,8
602,94,79,Reggae - Dancehall,2,World / Global / Reggae / Latin,8
79,880,2,Reggae - Dub,2,World / Global / Reggae / Latin,8
524,112,130,Romany (Gypsy),2,World / Global / Reggae / Latin,8
808,12,46,Salsa,2,World / Global / Reggae / Latin,8
174,17,86,South Indian Traditional,2,World / Global / Reggae / Latin,8
619,115,130,Spanish,2,World / Global / Reggae / Latin,8
1060,30,46,Tango,2,World / Global / Reggae / Latin,8
1032,60,102,Turkish,2,World / Global / Reggae / Latin,8
