track_id,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,rmse_01_mean,spectral_centroid_01_mean,spectral_bandwidth_01_mean,chroma_var
152,-91.57436,163.8145,-41.09951,41.20908,0.52612,20.32851,-11.01446,16.29216,-6.81858,8.8023,6.23269,1210.25171,1436.18713,0.02354
153,-77.2222,170.47665,-46.8186,8.75587,18.66588,6.82245,-15.54517,4.09002,-8.42838,-2.45586,5.92758,1244.74316,1504.39368,0.02802
154,-327.63303,190.85863,56.28415,-0.42507,7.26279,8.23348,-1.21567,-1.27687,0.84203,-0.7879,3.3068,395.53357,617.11066,0.04106
155,-90.94568,177.02759,-56.24174,15.57742,7.73408,3.77585,-11.20298,10.11291,-10.06626,-2.35913,5.99109,1181.6239,1263.43408,0.02578
156,-332.90869,154.37434,-19.39094,27.6119,-11.69148,17.37719,-4.52454,7.74646,2.48054,2.99761,0.55338,1166.38428,1505.32898,0.03149
157,-287.93906,139.71425,-4.87262,13.62238,3.75104,4.65071,-1.82733,0.64653,1.82565,-2.33985,0.98616,1071.91541,1401.5498,0.02921
158,-305.2045,156.6588,4.53734,26.03693,3.65749,11.27083,-3.97039,-1.46914,-0.58998,-4.00345,1.12141,864.56158,1347.48096,0.03541
159,-320.40512,168.58783,7.16848,33.97416,-0.45912,13.12328,-8.59034,0.26787,-4.06848,-2.70575,1.43147,728.61243,1250.56165,0.0327
160,-326.37155,171.90442,-10.09602,21.7642,-11.60059,19.63233,-0.10047,13.00844,0.76053,-1.05715,0.7245,873.46185,1334.8103,0.03125
161,-293.12952,171.68192,-32.03115,20.99871,1.29209,22.42715,-13.07095,-0.77384,-3.22519,-0.90819,0.91493,968.81659,1256.14734,0.02311
162,-292.82935,175.58978,-21.7312,10.32532,9.76543,9.75186,-17.67695,-4.00392,1.01946,-2.83613,1.12629,878.59918,1169.255,0.02517
163,-279.85446,174.46156,-7.14897,3.08946,14.50905,6.5193,-12.74888,-11.27121,-3.91447,-8.68879,1.67472,737.14264,1048.35754,0.02356
164,-301.96185,171.66953,-2.7138,8.11395,-0.22026,5.06159,-13.1383,-12.97471,-6.56067,-8.86238,1.38925,758.24011,1132.08032,0.02951
165,-328.10464,168.49678,10.58454,18.57462,5.47635,10.47351,-5.0747,-8.89651,-8.10671,-10.33164,1.31005,684.40143,1151.74866,0.03611
166,-332.57153,149.08496,30.20638,13.22359,12.612,6.2546,-1.36988,-5.08812,-4.47145,-6.29617,1.17531,694.06506,1187.99072,0.02461
167,-355.54947,166.72029,15.70551,17.40269,7.87901,13.33375,-1.07669,-7.45947,-6.39561,-7.48938,1.03235,667.72876,1162.47498,0.02413
168,-372.03891,118.36645,4.96447,16.70322,5.44501,6.94754,2.33709,1.32765,0.45606,0.28061,0.504,1497.17993,1652.88367,0.01943
169,-245.74493,191.05054,29.32717,53.73086,17.38569,2.5178,-0.17361,-3.40618,2.43418,-9.10231,5.35062,469.48398,853.55914,0.02912
170,-162.57079,162.13374,-35.41348,37.1028,1.78108,25.29022,-9.18338,10.2669,-8.89389,14.37865,3.31112,1257.48169,1468.38367,0.02633
171,-159.84627,174.20999,-35.39947,18.53161,5.10095,15.5197,3.11509,3.02651,-2.87777,6.89296,4.85051,1073.29492,1227.03772,0.03147
172,-142.67896,188.0006,-27.98165,23.90291,-0.54829,4.5081,-1.29136,13.02877,1.92582,5.15214,4.8315,843.29175,1111.58398,0.02667
173,-191.59639,205.31454,-23.08989,9.15373,11.53806,6.47222,8.98137,-5.22838,4.9051,2.19196,4.52323,605.10449,783.75433,0.01392
174,-177.60715,119.54978,-35.7904,34.95543,-6.04485,0.97473,2.50754,14.20852,2.36422,8.88677,2.68375,1647.18115,1610.7511,0.02733
175,-143.10899,164.08289,-36.29674,15.95523,-20.53449,8.68384,-20.86813,-1.36751,-15.26446,-4.13255,3.9031,1209.63489,1483.12451,0.02263
176,-122.06975,183.75798,-30.61691,12.577,-4.08671,14.3632,-10.15994,4.56248,-9.66665,5.6767,5.05914,986.81738,1377.98303,0.03326
177,-56.4174,174.85194,-28.03563,42.92683,-5.08293,21.8363,-6.68466,8.49916,-5.92199,8.35762,11.02076,1027.8562,1288.5802,0.0244
178,-132.85103,218.13583,-28.01563,26.03735,10.79241,-22.50674,-17.65906,-13.01863,1.73641,-8.90081,8.79608,605.83722,741.39313,0.01569
179,-119.25069,200.34839,-20.59074,17.57484,-0.80919,5.54947,-0.36515,-4.07976,-1.25502,0.03059,6.699,811.62701,1206.63013,0.03
181,-138.37183,160.94312,-65.0475,41.88508,-1.51636,-6.80461,8.16373,10.23987,-4.89018,9.80967,3.97582,1351.53015,1336.15479,0.01503
182,-112.31394,213.54124,-76.82541,29.49247,5.2804,-23.61572,24.38425,2.66141,0.62424,14.61232,7.4834,916.34784,891.87225,0.01679
183,-190.63873,231.21863,-43.63358,-5.6069,47.72419,-18.08873,-11.85068,25.13231,-3.54558,-10.22182,4.98437,636.91901,620.29767,0.01541
184,-121.68381,187.75665,-92.03598,55.62593,-10.77626,-11.02468,26.60567,-3.59582,14.61458,1.31954,5.15421,1227.91614,1075.90527,0.0123
185,-153.27185,160.12886,-94.12624,42.23779,-3.38808,-11.28093,4.28866,-1.79703,8.41299,1.72154,4.01497,1330.34192,1065.82056,0.01723
188,-362.05402,143.03868,-5.09804,9.38916,3.04052,-6.67836,-6.59726,-10.04306,-8.27238,-7.46808,0.9532,872.11218,1323.9187,0.00771
189,-276.66254,231.56537,-39.74497,-15.76136,36.09607,6.05897,0.62973,-0.43403,-11.22578,-11.22407,2.87166,643.19403,588.81348,0.01429
190,-198.27051,149.59608,-33.98836,24.39432,-1.71033,-1.22593,-10.03283,-13.95578,-8.54569,-10.2795,3.22539,1096.09741,1414.51611,0.00805
191,-271.54645,207.03966,-13.15112,-9.07936,-5.4728,8.4993,0.79765,9.92486,-6.6997,-6.13053,2.78656,740.52722,800.92816,0.01409
192,-458.75476,96.56827,3.91896,-11.46629,5.29626,3.36948,-5.08515,-4.50487,-3.97361,-3.63931,0.85755,1796.54492,1221.82593,0.01138
193,-247.09175,169.05478,-32.87858,27.44239,4.23159,3.65849,-3.23969,-3.84427,-7.04108,-4.85136,2.2925,1064.32458,1308.1698,0.0147
194,-236.16867,176.96112,-37.58669,25.96424,4.48011,-1.26342,-1.68304,-7.30959,-3.09448,-8.06897,2.5323,850.7027,1086.45447,0.01103
195,-290.24399,183.44987,-40.14658,6.38449,3.38359,-3.14186,-9.6281,-4.583,-7.74728,-6.14071,1.80901,904.71381,896.87537,0.01159
196,-310.40521,219.20175,-25.46877,-19.5622,29.36432,1.5283,-9.53837,-0.38541,-11.23528,-14.63416,2.08184,664.93463,575.32184,0.0159
197,-362.07846,140.54236,9.49183,7.82545,9.82668,-1.1482,-3.77326,-6.08787,-6.03264,-6.71643,1.01816,745.42059,1159.2085,0.01603
198,-186.19681,172.20682,-45.6674,29.658,2.73018,-4.38829,-7.15748,-10.82553,-5.98556,-6.8185,3.19213,956.70636,1199.8186,0.02476
199,-317.7562,160.30452,10.46482,1.57002,9.93136,11.20422,-5.34534,15.66428,5.12126,3.75073,1.80311,814.02295,1112.64502,0.01287
200,-186.51474,147.31711,-39.11084,24.59097,9.53266,-3.75372,-3.43739,-4.84854,-5.75718,-4.2809,3.28663,967.92535,1108.07104,0.01303
201,-205.81824,157.94402,-49.68709,23.1413,-4.0334,0.49127,-10.54968,2.2637,-11.75743,-7.33916,2.55924,1128.19226,1182.87219,0.01777
202,-277.03812,199.26706,-27.3566,-7.26964,28.56847,-4.26737,-10.65469,-2.19047,-10.32795,-10.79046,2.90716,692.61859,634.48566,0.00806
203,-275.95401,133.40031,0.22395,14.81148,-6.00889,-5.08182,-18.55318,-12.98569,-13.94703,-13.31071,2.6866,1022.97156,1541.63586,0.00754
204,-180.55841,159.27199,-14.0247,19.89907,-4.68973,16.50442,-9.61987,-4.91207,-11.79852,-8.31674,3.74281,1155.99622,1569.58521,0.01232
205,-278.0788,182.01138,-31.42154,4.96384,25.32323,0.04535,-9.88998,-1.79922,-2.46036,-14.27586,2.32825,737.73157,745.35455,0.00867
206,-304.8465,222.27913,-23.46089,-22.76123,34.33311,5.91818,-11.11875,-0.44881,-8.68596,-15.50829,2.56834,782.51208,620.41254,0.01041
207,-382.32724,137.10652,16.19099,9.17087,9.42853,-1.76918,-2.79935,-2.45265,-2.99111,-5.30063,1.24712,760.7597,1185.1825,0.00925
208,-178.59796,176.3918,-49.19555,28.32105,4.02084,-1.65409,-0.63219,-8.44421,-3.11452,-6.6014,3.16104,950.17889,1117.91479,0.01332
209,-262.38293,175.09471,-22.55867,4.39259,-5.87947,-4.93031,-6.58269,-17.89662,-6.55477,-6.09952,1.76462,954.44623,1460.34851,0.01767
210,-188.32277,157.29427,-32.62151,16.18045,-0.25156,2.88506,-8.67603,-7.96943,-5.20308,-6.1205,3.16757,984.47888,1262.92737,0.01283
211,-194.50642,152.92262,-22.88752,12.65076,-6.49772,-3.65692,-12.2667,-10.15627,-10.59039,-12.07454,3.47513,1034.43677,1332.04724,0.01667
212,-191.60323,146.53833,-13.94059,38.91124,-15.13257,18.39488,-5.41465,-4.74297,5.9583,-12.46214,2.76899,1338.32642,1619.05212,0.01462
213,-225.9088,159.1127,4.83505,23.72997,3.45668,9.15814,-9.20187,-2.74405,-1.57659,2.1799,4.1478,811.99506,1177.13843,0.02574
226,-80.86292,153.10321,-21.05281,36.70972,-6.24441,20.06433,-9.64275,18.69608,1.14539,16.96694,7.76791,1263.63562,1677.67212,0.01988
228,-71.34353,158.93643,-37.97409,40.85811,2.33461,24.38194,-8.84,9.77317,-4.58913,13.20019,7.71995,1260.29492,1521.21411,0.01824
236,-190.30344,135.14806,8.92277,36.3096,6.14132,14.01254,1.61042,3.32031,1.50619,2.95732,5.42982,1112.39734,1678.37512,0.02061
237,-173.16122,144.8912,-49.67124,18.37151,10.9835,10.72415,0.65297,4.9707,-7.93262,-2.70357,3.71722,1234.96924,1355.76465,0.01457
238,-221.15378,161.49728,-54.12556,11.72446,21.56865,4.19106,5.40921,2.97188,-7.64932,1.29614,3.49881,1017.48822,1057.19312,0.01115
246,-49.52676,134.98286,-28.0291,25.54762,-15.97591,7.95104,0.45762,8.93102,-0.77624,6.37244,7.32786,1530.85352,1806.14319,0.0214
247,-197.58517,182.88531,-33.43279,22.53119,0.1701,-3.50269,0.47036,-5.45359,-3.57561,-8.48583,3.5003,772.59302,941.31726,0.01486
248,-191.6521,191.07446,-6.93469,26.52819,23.11175,9.36893,4.11954,-5.27156,-4.32747,-3.796,7.18852,674.30048,1018.34595,0.01997
249,-244.92676,217.16905,-15.01615,20.35776,14.67324,7.00501,5.8027,-0.04057,-1.83906,-2.76234,3.75947,485.436,700.97235,0.01627
250,-163.83908,202.87428,-21.63114,18.76821,21.47302,-0.07363,-1.8768,-0.27531,0.29853,-5.05987,7.29553,690.03131,952.41193,0.01952
251,-134.37627,184.06978,-44.23232,30.24399,4.74508,11.24419,-8.42122,3.53995,-1.16609,0.92293,6.65569,956.69025,1170.83948,0.02099
252,-215.46136,179.54808,-26.38262,28.92323,10.06151,8.9187,0.93571,-2.10414,-3.73735,-5.88627,3.61295,728.50134,967.34802,0.01444
253,-102.97373,136.29698,-42.53476,2.45483,1.10019,12.84705,-7.14915,4.71711,-0.02703,-5.86621,5.52008,1583.31873,1716.49707,0.01846
254,-68.93045,149.29222,-33.14889,39.23388,0.72334,22.19013,1.36341,8.4803,2.6194,6.27897,8.11022,1246.65088,1566.65454,0.0211
255,-240.03426,197.23483,-11.00819,11.83727,-1.17967,-2.44156,6.36221,-2.12511,-1.08873,-3.7472,3.34449,624.12054,851.79163,0.0188
256,-68.95066,159.99657,-52.39338,26.48797,8.45064,15.50946,-11.05381,11.63025,-5.04308,10.6907,7.12113,1269.47253,1424.55786,0.02856
257,-103.26267,162.84431,-61.60236,30.07655,-2.10446,22.42697,-15.69985,18.77359,-8.76582,13.54345,4.57231,1312.53772,1422.36743,0.02342
258,-127.94329,160.31816,-51.09378,31.59988,3.37302,19.81247,-11.00667,14.13563,-4.899,9.81016,4.75362,1232.47986,1373.3407,0.02318
273,15.45197,140.73502,-81.26186,59.69185,-19.66368,40.90829,-12.285,27.88737,5.16378,-3.02017,13.30777,1688.18237,1546.76599,0.03004
274,52.92088,100.61201,-55.47239,26.42281,5.74344,20.0452,-2.55138,6.67757,3.11672,10.3435,15.52034,2050.07739,1943.30322,0.02771
275,26.78386,90.82516,-81.50533,46.35875,-12.43321,26.44321,-7.39163,29.63121,3.72915,-0.13788,16.43836,2069.86963,1646.66748,0.02612
276,21.71609,158.13525,-91.20702,47.88113,-22.07976,39.81888,-8.52649,21.14562,10.40395,-1.40241,13.94867,1445.46033,1375.75574,0.03264
277,-24.70528,174.47849,-71.07329,41.74646,-5.08528,20.39409,0.40028,14.95008,5.40563,-0.40577,13.68639,1081.5885,1195.21265,0.03045
281,-2.05529,115.43797,-65.46263,51.48881,8.05673,21.99382,6.4606,17.15385,10.31257,7.64552,12.74414,1696.93628,1617.75208,0.02566
282,-18.53661,153.10545,-84.91135,52.73935,-14.52137,33.90668,-6.59011,22.41983,12.01451,4.61676,12.50535,1392.10034,1349.70459,0.03077
284,13.17586,141.26109,-72.15919,67.99999,-19.86579,46.39942,-10.76042,30.39352,5.23914,-2.1129,13.97469,1688.302,1633.62012,0.03408
285,11.7157,116.46742,-84.30579,46.75785,-2.534,32.57391,-3.24867,25.32507,7.79317,1.20821,15.72165,1695.76135,1497.05334,0.03069
293,33.66028,130.12459,-84.28547,61.92279,-25.40074,39.78273,-16.59718,25.80576,-1.62517,-1.0532,14.23337,1835.74097,1620.20166,0.0271
294,2.09039,151.27658,-79.59459,60.39712,-19.87618,34.94462,-0.00642,21.63093,8.97204,2.29551,13.85019,1436.71899,1425.75647,0.0285
297,3.2573,129.48207,-74.75849,41.1853,18.42008,19.18147,9.69991,23.15041,7.94517,5.27986,13.57286,1538.5863,1485.16223,0.0248
300,-51.30294,154.14108,-60.19687,62.96218,-4.12998,32.64177,-4.55486,25.58609,5.18862,-2.69717,11.06531,1380.25586,1410.21387,0.02229
303,-251.52245,153.4339,-0.22768,27.70799,0.07042,23.57721,-3.08501,-1.98353,2.95501,-3.80843,2.80463,1123.08215,1732.93555,0.01404
304,-330.73846,162.4059,33.20593,39.52101,39.29402,14.41194,17.08068,7.17114,7.92768,6.23885,3.39903,571.38635,1444.12769,0.0303
305,-340.14313,149.26395,50.28367,29.37438,36.39294,21.10507,13.60379,15.1549,5.0858,0.91412,3.41884,337.35077,1043.24536,0.03665
306,-235.11772,172.19962,1.06887,38.86586,0.98737,12.42976,-10.04275,7.93315,1.61715,-5.14997,2.543,862.05194,1443.64539,0.02518
307,-222.96846,137.28514,41.80004,-0.47371,9.02981,18.19592,24.62724,-0.43577,-1.74829,7.26798,4.01318,1407.11084,2441.40991,0.02628
308,-370.3028,158.7148,58.136,27.47269,27.69975,14.63597,10.06049,6.18168,9.11031,7.45637,3.29523,702.54669,1588.45691,0.01763
309,-324.63034,173.76849,30.20345,5.59904,18.48918,13.30538,14.72853,22.23197,15.01198,8.52034,2.7041,523.56671,1282.5907,0.02284
310,-236.94283,158.34702,-16.56231,18.49088,5.69244,14.4086,0.0253,11.8892,0.07885,6.4018,1.88922,1070.78552,1631.12134,0.0176
311,-402.66104,101.35088,36.81322,18.33161,10.27431,5.169,12.40805,8.88594,17.12515,5.06608,1.17717,1990.59204,2600.06519,0.01705
312,-234.13496,185.08449,9.3882,9.29341,4.72454,-4.76254,-2.55167,-3.56087,-2.8145,-1.11484,3.37366,755.93286,1358.97668,0.02012
313,-283.96136,149.69278,24.25505,13.69809,15.074,14.78111,4.11632,-5.09657,6.33239,0.08802,2.00335,1109.70984,1919.25159,0.01228
314,-215.92735,139.72099,29.57952,25.25724,-25.31353,19.93438,0.75741,0.02185,18.91142,-6.14043,3.92102,1343.46179,1918.19983,0.01498
315,-308.81714,165.83804,-2.11458,18.49932,14.67054,17.14241,1.17547,18.37174,5.89581,-1.40469,2.04072,868.79877,1532.86938,0.01956
316,-366.36758,171.49831,-2.25388,29.34962,27.64766,15.51028,14.24063,-4.54091,6.6565,8.77251,1.28698,719.21838,1274.23035,0.0189
317,-194.96466,184.78455,-19.65945,0.67174,11.05551,6.19671,-4.82073,19.38659,-0.24629,4.40552,5.1121,784.00031,1256.79639,0.0148
318,-258.48981,116.22059,-27.06544,5.25448,13.25928,10.11135,18.47016,5.29318,9.85855,8.33964,3.09379,1732.55481,1859.89783,0.0149
319,-342.81839,182.52437,56.26163,19.1375,13.7955,16.60491,11.19374,2.441,8.63365,6.95379,2.9172,509.30933,1303.99561,0.01513
320,-308.50009,154.34796,41.91539,29.48762,-3.83315,27.36189,2.42713,2.66452,11.00123,0.63572,2.92679,949.7229,1712.76086,0.0183
321,-215.65955,180.67274,-12.19291,17.82736,26.42572,7.85094,3.77787,7.93711,1.73836,4.96256,4.08897,714.59088,1222.75317,0.02711
322,-318.82681,184.67824,8.35019,3.94151,22.14616,14.85068,8.25196,12.42302,7.83776,2.15449,2.4284,691.47388,1338.27759,0.01604
323,-276.12128,210.1881,6.54309,-5.89703,-3.2728,-15.08746,-4.79524,-2.60714,7.56824,6.49308,2.9209,636.61749,1171.56873,0.01898
324,-249.23021,169.8578,-14.76438,18.48049,19.08389,10.15529,5.19198,2.82914,0.08062,-1.60189,3.69243,844.98999,1195.52515,0.01821
325,-355.37466,171.35548,-1.09831,14.1408,13.08238,2.24434,9.43363,0.04275,7.17738,2.05022,0.73431,918.21057,1651.8606,0.02155
326,-211.0901,157.12083,-31.4756,6.05163,-5.8754,11.56712,-5.97999,-0.08722,1.56536,1.22602,3.57572,1043.22034,1338.91284,0.01516
327,-290.76373,171.26399,21.21809,17.406,28.70342,12.10155,15.97651,6.60601,4.27007,5.30323,3.29417,726.29089,1530.99231,0.01681
328,-304.62759,148.6767,8.06412,50.6596,19.75831,24.30864,9.31543,10.13134,4.86425,-3.25518,2.22402,859.14142,1552.76086,0.0178
330,-242.15894,190.95731,11.23901,6.39596,22.60865,6.2494,1.16907,-1.47948,2.43024,9.93641,4.10147,686.53375,1278.98877,0.01966
331,-277.45432,174.75832,52.07613,15.999,8.27601,2.54143,4.85557,8.11135,11.45737,12.71349,5.71303,521.09534,1257.6272,0.02098
332,-289.92151,163.64967,7.92674,16.18758,-2.3238,-4.17967,-3.09229,-5.7178,-2.05938,-6.33167,1.69875,927.49323,1532.07861,0.01693
333,-359.54883,130.13875,-7.41536,18.85741,9.42092,-0.12956,4.34883,-7.57691,2.41498,-2.24908,0.94196,1435.43262,1968.55042,0.01203
334,-254.71465,196.52803,-41.97839,5.53778,26.82615,0.60261,6.51793,-2.09129,7.44731,6.7419,1.59879,875.23468,1217.51758,0.0188
335,-324.3407,139.71767,11.81412,32.38764,14.96844,20.85085,11.0391,6.551,6.33208,0.34047,1.8102,837.96356,1452.09265,0.02802
336,-281.88876,177.19203,46.88935,34.71638,16.8202,30.8267,6.48074,-2.67588,5.38452,3.50278,4.56538,545.8584,1252.75366,0.02617
337,-219.63,150.70787,-0.33763,34.62584,2.49919,21.06844,-14.26274,7.29357,1.72176,2.42659,2.97896,1214.41272,1682.9104,0.01497
338,-358.66013,162.94334,17.0249,16.86859,13.09214,2.54807,3.17038,-5.78097,0.35163,1.53069,1.68138,946.04694,1610.97729,0.01335
339,-332.87469,157.38759,-31.63198,29.59052,14.67094,8.92979,4.34539,-12.30834,1.35794,-0.95025,1.06225,1021.85742,1444.74719,0.01144
340,-404.3172,172.11414,25.96501,19.03642,12.82449,23.79878,-3.61989,10.71926,10.10271,5.92427,0.87524,742.18628,1385.53979,0.01949
341,-328.71652,178.87949,8.31983,15.16462,5.63417,-3.37376,5.28236,1.15904,6.32395,1.05974,1.99533,672.73273,1291.53064,0.00868
342,-213.49649,123.31013,-10.88391,57.99991,-6.18239,35.30434,0.06269,11.00397,4.78021,7.91574,3.77181,1164.70813,1605.54334,0.01748
343,-359.90933,132.43416,21.13077,34.49831,0.79793,24.9019,23.4756,-3.12457,-1.15425,-3.46111,1.37915,1152.52307,1766.66003,0.01459
344,-287.68231,173.19841,-3.37444,21.19625,11.04366,11.9129,6.50623,-6.75826,4.59911,-0.10501,1.72814,844.15778,1422.75916,0.02221
345,-273.2305,201.33324,24.00594,4.05358,20.90416,9.21188,9.11222,11.40033,8.78351,5.7976,4.30878,386.60632,892.48193,0.01604
346,-375.78931,135.33217,53.25266,27.69402,25.2851,17.88166,16.99851,8.51112,4.83021,2.9238,2.89002,834.65332,1803.48669,0.01183
347,-233.05392,171.24664,-8.10578,14.47016,23.67269,12.96622,15.21843,8.00283,8.25653,9.85189,5.82184,736.99054,1309.29187,0.02303
348,-282.84494,110.36797,-37.97245,36.13451,25.70032,17.38604,12.23508,13.34087,14.63045,8.27063,2.24234,1320.50293,1495.87183,0.01997
349,-362.13812,163.66331,-23.6539,15.96935,24.0788,10.7864,13.88471,-4.88953,-3.83457,3.35228,1.1515,887.10498,1356.36646,0.01928
350,-203.64714,197.97461,-3.85484,11.141,15.08976,7.03668,-6.87355,6.76896,0.79413,4.90074,4.6119,628.03888,1102.00232,0.01754
351,-351.31897,166.01746,44.55134,24.24543,17.26678,24.12324,12.62896,9.56166,15.49858,5.49064,2.77331,565.17554,1413.98523,0.02556
352,-246.47812,158.50078,-22.52357,13.75651,18.11769,-0.77185,12.38593,3.53951,7.52406,6.39134,2.87225,949.17834,1535.47754,0.00883
353,-306.01239,150.44923,11.67946,8.4134,11.34743,-2.5298,7.01576,0.75689,7.06818,9.95894,2.28637,1085.83875,1845.57935,0.00899
354,-363.71359,146.34448,-4.05194,15.32857,12.43152,18.07293,12.7407,9.85198,2.79926,-1.08647,1.08511,950.35394,1568.57849,0.01726
355,-396.49686,210.45198,-13.48023,-0.58819,14.94719,2.98709,0.69967,-2.51841,-2.93937,-4.63116,0.69894,700.48724,1096.91858,0.01284
356,-257.9762,150.31407,-6.30603,10.62189,19.27774,12.8937,16.76868,13.51214,14.64037,13.35748,4.5995,857.61475,1531.11646,0.01801
357,-221.93587,138.77461,-31.69522,-1.1065,13.21866,-1.24511,5.52435,0.64198,10.90717,9.16926,2.36481,1350.98206,1831.48767,0.01816
358,-248.05914,181.93001,-19.18481,29.92845,1.82523,3.50266,6.42043,5.49156,7.58535,4.95329,2.2317,841.76678,1325.0575,0.01952
359,-319.06052,178.64336,27.03131,-1.57452,25.31729,14.31745,2.76194,3.89785,6.01727,2.04694,3.13495,727.83868,1503.15735,0.00975
360,-176.53467,152.44145,8.78137,49.77865,-19.74918,21.69876,-13.11167,4.62306,-9.88771,-1.51188,5.19002,1031.07397,1523.31409,0.01115
361,-302.76462,173.92535,-4.3005,16.23981,18.68698,-2.50788,2.03506,-4.18667,0.39699,-3.04478,1.48083,849.67926,1560.41614,0.01467
362,-246.46973,103.79309,-31.1756,54.2165,-9.22951,24.96834,-5.01415,10.839,-5.95656,7.04544,1.23306,1867.44104,1850.83215,0.01313
363,-366.44077,130.57031,20.63701,31.32468,14.9504,10.14624,10.65084,-1.35109,1.88866,3.66855,1.13033,1177.33655,1978.44507,0.01159
364,-292.91135,183.52878,12.84967,23.58253,9.74984,1.86385,4.2945,-5.2144,2.93457,2.44542,2.31081,669.79327,1296.07043,0.01802
